District,State,County,Tract,Block
28,24,017,850400,3033
28,24,017,850400,3039
28,24,017,850400,3032
28,24,017,850400,3030
28,24,017,850400,3040
28,24,017,990000,0004
28,24,017,850400,3018
04,24,021,770700,3020
04,24,021,770700,3012
04,24,021,770700,3011
04,24,021,770700,3005
04,24,021,770700,3013
04,24,021,770700,3000
04,24,021,770700,3014
04,24,021,770700,1023
04,24,021,770700,3002
04,24,021,770700,3001
04,24,021,770700,1012
04,24,021,770700,1014
04,24,021,770700,1013
04,24,021,752802,2061
04,24,021,770700,1011
04,24,021,770700,1008
04,24,021,770700,1010
04,24,021,752802,2033
04,24,021,752802,2034
04,24,021,752802,2042
04,24,021,770700,1009
04,24,021,752802,2032
04,24,021,752802,1026
04,24,021,752802,1027
04,24,021,770700,1007
04,24,021,770700,1015
04,24,021,770700,1006
04,24,021,752801,2016
04,24,021,752802,2009
04,24,021,752802,2003
04,24,021,752802,2004
04,24,021,752802,2006
04,24,021,752802,2005
04,24,021,752802,1023
04,24,021,752802,1020
04,24,021,752802,1018
04,24,021,752802,2013
04,24,021,752802,1028
04,24,021,752802,1024
04,24,021,752802,1025
04,24,021,752802,1016
04,24,021,752802,1017
04,24,021,752802,1019
04,24,021,752802,1015
04,24,021,752802,1007
04,24,021,752802,1010
04,24,021,752802,1008
04,24,021,752802,1009
04,24,021,752802,1006
04,24,021,752802,1021
04,24,021,752802,1013
04,24,021,752801,2014
04,24,021,752801,2015
03,24,021,750507,1004
03,24,021,751203,1014
03,24,021,750507,1006
03,24,021,750507,1002
03,24,021,751203,1009
03,24,021,751203,1006
03,24,021,751203,1010
03,24,021,751203,1016
03,24,021,751203,1011
03,24,021,751203,1012
04,24,021,751203,3007
03,24,021,751203,1013
03,24,021,751203,3013
03,24,021,751203,3008
04,24,021,751203,3003
04,24,021,770700,2021
04,24,021,770700,2019
04,24,021,770700,2009
04,24,021,770700,2018
04,24,021,770700,2010
04,24,021,770700,2012
04,24,021,770700,2017
04,24,021,770700,2016
04,24,021,770700,2015
04,24,021,770700,2004
04,24,021,752802,2058
04,24,021,770700,2011
04,24,021,770700,2014
04,24,021,770700,2013
04,24,021,752802,2057
04,24,021,752802,2056
04,24,021,752802,2051
04,24,021,752501,1016
04,24,021,752501,1017
04,24,021,752501,1022
04,24,021,752501,1008
04,24,021,752501,1015
04,24,021,752602,3017
04,24,021,752501,1004
04,24,021,752602,3015
04,24,021,752602,3007
04,24,021,752501,2010
04,24,021,770700,2025
04,24,021,770700,2026
04,24,021,770700,2028
04,24,021,770700,2034
04,24,021,770700,2029
04,24,021,770700,2023
04,24,021,770700,2024
04,24,021,752602,3016
04,24,021,770700,2030
04,24,021,770700,2031
04,24,021,752601,3006
04,24,021,770700,2032
04,24,021,752501,1006
04,24,021,752501,1002
04,24,021,752501,1003
04,24,021,752602,3008
04,24,021,752602,3029
15,24,031,700500,1010
15,24,031,700500,1017
04,24,021,775400,1015
04,24,021,775400,1016
04,24,021,775302,2009
04,24,021,775302,2014
04,24,021,775302,2013
04,24,021,775302,2010
04,24,021,752502,1037
04,24,021,752303,3045
04,24,021,752303,3047
04,24,021,752303,3039
04,24,021,752303,3041
04,24,021,752303,3043
04,24,021,752303,3024
04,24,021,752502,1039
04,24,021,752303,3038
04,24,021,752303,3029
04,24,021,752303,3030
04,24,021,752303,3031
04,24,021,752502,1000
04,24,021,752501,3018
04,24,021,752501,3008
04,24,021,752501,3002
04,24,021,752501,3005
04,24,021,752501,4011
04,24,021,752502,1005
04,24,021,752501,4018
04,24,021,752501,4008
04,24,021,752501,4009
04,24,021,752501,4017
04,24,021,752501,4019
04,24,021,752501,4007
04,24,021,752501,1048
04,24,021,752501,1047
04,24,021,752501,1043
04,24,021,752501,4006
04,24,021,752501,1042
04,24,021,752501,1012
04,24,021,752501,1011
04,24,021,752501,1020
04,24,021,752501,2014
04,24,021,752501,1013
04,24,021,752501,1019
04,24,021,752501,1014
04,24,021,752501,2018
04,24,021,752501,2017
04,24,021,752501,2016
04,24,021,752501,2015
04,24,021,752602,3018
04,24,021,752501,1018
04,24,021,752501,1021
04,24,021,752502,1025
04,24,021,752502,1009
04,24,021,752502,1006
04,24,021,752502,1012
04,24,021,752501,1033
04,24,021,752501,1034
04,24,021,752501,1032
04,24,021,752501,1026
04,24,021,752501,1027
04,24,021,752501,1046
04,24,021,752501,1045
04,24,021,752502,1011
04,24,021,752501,3019
04,24,021,752501,3015
04,24,021,752501,1025
04,24,021,752501,1029
04,24,021,752502,1008
04,24,021,752502,1007
04,24,021,752501,3016
04,24,021,752501,1031
04,24,021,752501,1030
04,24,021,752501,3014
04,24,021,752501,1037
04,24,021,752501,1024
04,24,021,752501,1010
04,24,021,752501,1023
04,24,021,752501,1007
04,24,021,752501,1009
04,24,021,752502,1028
04,24,021,752502,1029
04,24,021,752502,1033
04,24,021,752502,2015
02A,24,043,011301,1017
02A,24,043,010200,4029
02A,24,043,010200,4031
02A,24,043,010200,2002
02A,24,043,010200,2001
02A,24,043,010200,4005
02A,24,043,010200,4001
02A,24,043,010200,2000
02A,24,043,010200,1056
02A,24,043,010200,1053
02A,24,043,010200,4028
02A,24,043,010200,1054
02A,24,043,010200,1055
02A,24,043,011301,1018
02A,24,043,010200,1052
02A,24,043,010200,1057
02A,24,043,010200,1027
02A,24,043,010200,4000
02A,24,043,010200,1025
02A,24,043,010200,1026
02A,24,043,010200,1021
02A,24,043,010200,1024
02A,24,043,010200,1023
02A,24,043,011301,1011
02A,24,043,011301,1010
02A,24,043,011301,1019
02A,24,043,011301,1012
02A,24,043,011301,1013
02A,24,043,011301,1016
02A,24,043,011301,1029
02A,24,043,011301,1015
02A,24,043,011301,1025
02A,24,043,011302,1047
02A,24,043,011302,1046
02A,24,043,011302,1026
01C,24,043,011700,4025
01C,24,043,011700,4024
01C,24,043,011700,4015
01C,24,043,010802,3003
01C,24,043,010802,3000
01C,24,043,010802,2012
01C,24,043,010802,2013
01C,24,043,010802,2028
01C,24,043,010802,2022
01C,24,043,010802,2014
01C,24,043,010802,2023
01C,24,043,011700,4028
01C,24,043,011700,4023
01C,24,043,010802,2011
01C,24,043,011700,4030
01C,24,043,010802,2010
01C,24,043,010802,2009
01C,24,043,011700,4022
01C,24,043,011700,4018
01C,24,043,011700,4027
01C,24,043,011700,4012
01C,24,043,011700,4010
01C,24,043,011700,4016
01C,24,043,011700,4017
01C,24,043,011700,4011
01C,24,043,011700,4013
01C,24,043,011700,4009
01C,24,043,011700,4008
01C,24,043,011700,2016
04,24,021,775400,4000
04,24,021,775400,1014
04,24,021,775400,1013
04,24,021,775400,2008
04,24,021,775400,1008
04,24,021,775400,1007
04,24,021,775400,1021
04,24,021,775400,1017
04,24,021,775400,1024
04,24,021,775400,1003
04,24,021,775400,1012
04,24,021,775400,1023
04,24,021,775400,1006
04,24,021,775400,1009
04,24,021,775400,1004
04,24,021,775400,2006
04,24,021,775400,2007
04,24,021,775400,2004
04,24,021,775400,1022
04,24,021,775400,1018
04,24,021,775400,2005
04,24,021,775400,2001
04,24,021,775400,1020
04,24,021,775400,1019
04,24,021,775400,1005
04,24,021,775400,1002
04,24,021,775400,1010
04,24,021,775400,1001
04,24,021,775400,1011
04,24,021,775400,1000
04,24,021,775302,2011
02A,24,043,010902,2040
09A,24,027,604004,1014
09A,24,027,604004,1012
09A,24,027,604004,1015
09A,24,027,604004,1011
09A,24,027,604003,1007
09A,24,027,604003,1005
09A,24,027,604003,1004
09A,24,027,604003,1003
09A,24,027,604003,1006
09A,24,027,604003,1012
09A,24,027,604001,1027
09A,24,027,604003,1002
09A,24,027,604001,1028
04,24,021,752502,1016
04,24,021,752502,1010
04,24,021,752502,1013
04,24,021,752502,1014
04,24,021,752502,1015
04,24,021,752502,1017
04,24,021,775302,3004
04,24,021,775302,3007
04,24,021,775302,3003
04,24,021,775302,2002
04,24,021,775302,2004
04,24,021,775302,2005
04,24,021,775302,2006
04,24,021,775302,2003
04,24,021,775302,2012
04,24,021,775302,2000
04,24,021,775302,3006
04,24,021,775302,3005
04,24,021,775302,3000
04,24,021,752501,2039
04,24,021,752501,1050
04,24,021,752501,1049
04,24,021,752501,1028
04,24,021,752501,1035
04,24,021,752501,1036
02A,24,043,011502,1006
02A,24,043,011502,1005
02A,24,043,011502,1004
02A,24,043,011502,1002
02A,24,043,011502,1016
02A,24,043,011502,1012
02A,24,043,011302,2005
02A,24,043,011302,2008
02A,24,043,011302,2002
02A,24,043,011302,2000
02A,24,043,011302,1041
02A,24,043,011302,2026
02A,24,043,011302,2018
02A,24,043,011302,2022
02A,24,043,011302,2021
02A,24,043,011302,2019
04,24,021,752802,2027
04,24,021,752802,2002
04,24,021,752802,2001
04,24,021,752802,2000
02A,24,043,011302,2027
02A,24,043,011302,2020
02A,24,043,011302,1052
04,24,021,752802,1022
02A,24,043,011302,2017
02A,24,043,011302,2016
02A,24,043,011302,2004
02A,24,043,011302,2015
02A,24,043,011302,2011
02A,24,043,011302,2003
02A,24,043,011302,1061
02A,24,043,011302,2001
02A,24,043,011302,1040
02A,24,043,011302,1033
02A,24,043,011302,1039
02A,24,043,011302,1030
02A,24,043,011302,1054
02A,24,043,011302,1055
02A,24,043,010200,2016
02A,24,043,010200,2017
02A,24,043,010200,2010
02A,24,043,010200,4032
02A,24,043,010200,4012
02A,24,043,010200,2011
02A,24,043,010200,4033
02A,24,043,010200,4019
02A,24,043,010200,4017
02A,24,043,010200,4018
02A,24,043,011202,1005
02A,24,043,010200,2023
02A,24,043,011202,2001
02A,24,043,011202,2000
02A,24,043,010200,2019
02A,24,043,010200,2009
02A,24,043,010200,2007
02A,24,043,010200,2021
02A,24,043,011301,2006
02A,24,043,010200,2022
02A,24,043,010200,2006
02A,24,043,010200,2005
02A,24,043,010200,2020
02A,24,043,010200,2004
02A,24,043,010200,4025
02A,24,043,010200,4026
02A,24,043,010200,4027
02A,24,043,010200,4022
02A,24,043,010200,4021
02A,24,043,010200,4023
02A,24,043,010200,4024
02A,24,043,010200,4015
02A,24,043,011302,1002
02A,24,043,011202,2024
02A,24,043,011202,2021
02A,24,043,011202,2004
02A,24,043,011202,2008
02A,24,043,011202,2018
02A,24,043,011202,2009
02A,24,043,011202,2010
02A,24,043,011202,2011
02A,24,043,011202,2025
02A,24,043,011202,2020
02A,24,043,011202,2012
02A,24,043,011202,2014
02A,24,043,011202,2019
02A,24,043,011202,2016
02A,24,043,011202,2007
02A,24,043,011202,2006
02A,24,043,011202,2005
02A,24,043,011202,2017
02A,24,043,011202,2013
02A,24,043,011202,2015
02A,24,043,011202,1009
02A,24,043,011202,4008
02A,24,043,011202,1002
02A,24,043,010200,2013
02A,24,043,010200,2012
02A,24,043,010200,2014
02A,24,043,010200,2015
02A,24,043,011202,1001
02A,24,043,010200,2018
02A,24,043,011202,1003
02A,24,043,011202,1000
04,24,021,770700,2020
04,24,021,770700,3021
04,24,021,770700,3022
04,24,021,770700,3018
04,24,021,770700,3019
04,24,021,752802,2055
04,24,021,770700,3008
04,24,021,752802,2064
04,24,021,770700,3004
04,24,021,770700,3009
04,24,021,770700,3003
04,24,021,770700,3010
04,24,021,770700,3007
04,24,021,770700,3006
04,24,021,752802,2049
04,24,021,752802,2052
04,24,021,752802,2025
04,24,021,752802,2024
04,24,021,752802,2015
04,24,021,752802,2007
04,24,021,752802,2053
04,24,021,752802,2037
04,24,021,752802,2054
04,24,021,752802,2038
04,24,021,752802,2045
04,24,021,752802,2046
04,24,021,752802,2048
04,24,021,752802,2036
04,24,021,752802,2035
04,24,021,752802,2039
04,24,021,752802,2040
04,24,021,752802,2063
04,24,021,751302,2031
04,24,021,751302,2030
04,24,021,751302,2039
04,24,021,767600,1051
04,24,021,751302,2029
04,24,021,767600,2023
04,24,021,767600,2032
04,24,021,767600,2021
04,24,021,767600,1029
04,24,021,767600,1030
04,24,021,767500,3040
04,24,021,767500,3041
04,24,021,767500,3046
04,24,021,767600,1024
04,24,021,767500,3031
04,24,021,767500,3034
04,24,021,767500,3036
04,24,021,767500,3035
04,24,021,767500,3033
04,24,021,767600,1025
04,24,021,767600,1019
04,24,021,767500,3028
02A,24,043,011302,1022
02A,24,043,011302,1012
02A,24,043,011302,1062
02A,24,043,011302,1018
02A,24,043,011302,1011
02A,24,043,011302,1013
04,24,021,752802,1004
04,24,021,752802,1000
04,24,021,752802,1001
02A,24,043,011302,1019
02A,24,043,011302,1001
02A,24,043,011302,1000
02A,24,043,011302,1017
02A,24,043,011302,1014
02A,24,043,011301,1047
02A,24,043,011301,1043
02A,24,043,011301,1046
02A,24,043,011301,1044
02A,24,043,011202,2026
02A,24,043,011301,2008
02A,24,043,011301,2007
02A,24,043,011301,2015
02A,24,043,011202,2027
02A,24,043,011301,2014
02A,24,043,011301,2011
02A,24,043,011301,2012
02A,24,043,011301,1045
02A,24,043,011301,1042
02A,24,043,011301,2013
02A,24,043,011301,2009
02A,24,043,011301,2010
02A,24,043,011301,1034
02A,24,043,011301,4045
02A,24,043,011301,4049
02A,24,043,011301,1035
02A,24,043,011301,1036
02A,24,043,011301,4041
02A,24,043,011301,1038
02A,24,043,011301,1037
02A,24,043,011301,1031
02A,24,043,011301,4044
02A,24,043,011301,1039
02A,24,043,011301,1032
02A,24,043,011301,1022
04,24,021,752802,1003
04,24,021,752801,1012
04,24,021,752801,1011
04,24,021,752801,1009
04,24,021,752802,1002
04,24,021,752801,1013
04,24,021,752801,1014
04,24,021,752801,1010
04,24,021,752801,1016
04,24,021,752801,1020
04,24,021,752801,1017
04,24,021,752801,1037
04,24,021,752801,1040
04,24,021,752801,1006
04,24,021,752801,1008
04,24,021,752801,1018
04,24,021,752801,1019
04,24,021,752801,1007
04,24,021,752801,1005
04,24,021,752801,1004
02A,24,043,011301,1030
04,24,021,752801,1003
02A,24,043,011301,1041
02A,24,043,011301,1049
02A,24,043,011301,2005
02A,24,043,011301,2004
02A,24,043,011301,3005
02A,24,043,011301,3001
02A,24,043,011301,4047
02A,24,043,011301,3004
02A,24,043,011301,4040
02A,24,043,011301,3003
02A,24,043,011301,3000
02A,24,043,011301,3002
02A,24,043,011301,4013
02A,24,043,011301,3006
02A,24,043,011301,4012
02A,24,043,011301,4005
02A,24,043,011301,4004
02A,24,043,010200,2003
02A,24,043,011301,4030
02A,24,043,011301,4037
02A,24,043,011301,4028
02A,24,043,011301,4029
02A,24,043,011301,4039
02A,24,043,011301,4038
02A,24,043,011301,4036
02A,24,043,011301,4025
02A,24,043,011301,4031
02A,24,043,011301,4033
02A,24,043,011301,4042
02A,24,043,011301,4046
02A,24,043,011301,4034
02A,24,043,011301,4035
02A,24,043,011301,4026
02A,24,043,011301,4024
02A,24,043,011301,4023
02A,24,043,011301,4032
02A,24,043,011301,4020
04,24,021,752501,2020
04,24,021,752501,2021
04,24,021,752501,2032
04,24,021,752501,2029
04,24,021,752501,2030
04,24,021,752501,2031
04,24,021,752501,2040
04,24,021,752501,2013
04,24,021,752501,2012
04,24,021,752501,2008
04,24,021,752501,2003
04,24,021,752501,2011
04,24,021,752501,2009
04,24,021,770700,2027
04,24,021,752501,2004
04,24,021,752501,2001
04,24,021,752501,2005
02A,24,043,011600,2000
02A,24,043,011501,1064
02A,24,043,011501,1048
02A,24,043,011400,4005
04,24,021,752501,2002
02A,24,043,011501,2000
02A,24,043,011400,4012
04,24,021,770700,2007
04,24,021,770700,2002
04,24,021,752501,2000
04,24,021,770700,2022
04,24,021,770700,2008
04,24,021,770700,2006
04,24,021,770700,2003
02A,24,043,011400,4009
02A,24,043,011400,4010
04,24,021,770700,2001
04,24,021,752802,2060
04,24,021,752802,2059
02A,24,043,011400,4011
04,24,021,770700,2000
04,24,021,752802,2028
02A,24,043,011400,4000
04,24,021,752802,2029
04,24,021,770700,2005
04,24,021,752802,2050
04,24,021,752802,2026
02A,24,043,011400,1041
02A,24,043,011400,1042
02A,24,043,011400,1039
02A,24,043,011400,1040
02A,24,043,011400,1014
02A,24,043,011400,1043
02A,24,043,011400,1044
02A,24,043,011400,1030
02A,24,043,011302,1027
02A,24,043,011302,1032
02A,24,043,011302,1029
02A,24,043,011202,1017
02A,24,043,011202,1016
02A,24,043,011302,1028
02A,24,043,011202,1015
02A,24,043,011302,1053
02A,24,043,011302,1007
02A,24,043,011302,1008
02A,24,043,011302,1025
02A,24,043,011302,1023
02A,24,043,011302,1056
02A,24,043,011302,1057
02A,24,043,011302,1060
02A,24,043,011302,1058
02A,24,043,011302,1059
02A,24,043,011302,1024
02A,24,043,011302,1015
02A,24,043,011302,1016
02A,24,043,011302,1006
